collection,collection_url,collection_address,asset_contract_address,ascending,cursor,page_num,n_request,limit,comment
ZombieClub Token,https://opensea.io/collection/zombieclub-token,0x9c80777CAe192E5031c38A0d951C55730eCC3f5e,0x9c80777CAe192E5031c38A0d951C55730eCC3f5e,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTA4KzA0JTNBMjAlM0E0NS4zOTgwNDcmLXBrPTY3NDY0NjkxMTU=,131,50000,300,
Koala Intelligence Agency,https://opensea.io/collection/koala-intelligence-agency,0x3f5FB35468e9834A43dcA1C160c69EaAE78b6360,0x3f5FB35468e9834A43dcA1C160c69EaAE78b6360,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTE0KzE1JTNBMjAlM0E1MS40MTI5MjAmLXBrPTYxMDk3NTk1NzM=,51,50000,300,
Chain Runners,https://opensea.io/collection/chain-runners-nft,0x97597002980134beA46250Aa0510C9B90d87A587,0x97597002980134beA46250Aa0510C9B90d87A587,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTAyKzIwJTNBMzYlM0EzMi42MzEyNDQmLXBrPTY2NDgzNTI1MjM=,454,50000,300,
Crypto.Chicks,https://opensea.io/collection/the-crypto-chicks,0x1981CC36b59cffdd24B01CC5d698daa75e367e04,0x1981CC36b59cffdd24B01CC5d698daa75e367e04,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTAzKzE3JTNBNTglM0EzOC43MzQzMDkmLXBrPTcwNjM2OTkwNjQ=,76,50000,300,
OxyaOriginProject,https://opensea.io/collection/oxyaoriginproject,0xE106C63E655dF0E300b78336af587F300Cff9e76,0xE106C63E655dF0E300b78336af587F300Cff9e76,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIwKzIxJTNBNDglM0EwOS4zOTU5NTQmLXBrPTY5NzExMTYwOTk=,501,50000,300,
THE SHIBOSHIS,https://opensea.io/collection/theshiboshis,0x11450058d796B02EB53e65374be59cFf65d3FE7f,0x11450058d796B02EB53e65374be59cFf65d3FE7f,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTI2KzE4JTNBNTQlM0ExNy44MzU0MzMmLXBrPTcwMTQ1MDIzNTc=,88,50000,300,
Akutars,https://opensea.io/collection/akutars,0xaaD35C2DadbE77f97301617D82e661776c891Fa9,0xaaD35C2DadbE77f97301617D82e661776c891Fa9,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTI5KzEzJTNBMjIlM0ExOS4wMjM4MTMmLXBrPTcwMzUwNjcwNTM=,619,50000,300,
The Heart Project,https://opensea.io/collection/heartnfts,0xce50f3cA1F1Dbd6Fa042666bC0e369565dda457D,0xce50f3cA1F1Dbd6Fa042666bC0e369565dda457D,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTE5KzIwJTNBMTAlM0EwNS41ODQzMjUmLXBrPTYzMTU3MzgzMTQ=,383,50000,300,
"""MOAR"" by Joan Cornella",https://opensea.io/collection/official-moar-by-joan-cornella,0xeB3a9A839dFeEaf71db1B4eD6a8ae0cCB171b227,0xeB3a9A839dFeEaf71db1B4eD6a8ae0cCB171b227,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIzKzAxJTNBMDIlM0E1OC4wODgxNjgmLXBrPTY5OTI2Mzk4MTg=,152,50000,300,
The Humanoids,https://opensea.io/collection/thehumanoids,0x3a5051566b2241285BE871f650C445A88A970edd,0x3a5051566b2241285BE871f650C445A88A970edd,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTMwKzIzJTNBNDUlM0EzMS42NjQ1MzQmLXBrPTcwNDU3NDM2NzU=,189,50000,300,
The Sevens - Genesis,https://opensea.io/collection/the-sevens-genesis,0xf497253C2bB7644ebb99e4d9ECC104aE7a79187A,0xf497253C2bB7644ebb99e4d9ECC104aE7a79187A,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA0LTIzKzE5JTNBNTYlM0EyNC43Njg1ODYmLXBrPTUzNDUzNzU5NjE=,599,50000,300,
Creepz Shapeshifterz,https://opensea.io/collection/creepz-shapeshifterz,0xF1083e064F92db0561fd540F982Cbf73A4e2F8f6,0xF1083e064F92db0561fd540F982Cbf73A4e2F8f6,FALSE,,1830,0,300,job completed
OnChainMonkey,https://opensea.io/collection/onchainmonkey,0x960b7a6BCD451c9968473f7bbFd9Be826EFd549A,0x960b7a6BCD451c9968473f7bbFd9Be826EFd549A,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE0KzA0JTNBNDYlM0ExMy44NjM3ODEmLXBrPTY4NzM0ODE0Nzk=,507,50000,300,
inBetweeners by GianPiero,https://opensea.io/collection/inbetweeners,0x94638Cbf3c54c1f956a5F05cBC0F9aFb6822020d,0x94638Cbf3c54c1f956a5F05cBC0F9aFb6822020d,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIyKzA2JTNBMjElM0E1Ny4yMDcxNTcmLXBrPTY5ODUzODk0NTA=,59,50000,300,
IO: Imaginary Ones,https://opensea.io/collection/io-imaginary-ones,0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTIwKzExJTNBNTAlM0EyMi43NTQ2MTImLXBrPTcxNzE1MTA4NDI=,4,50000,300,
MetaHero Universe: United Planets,https://opensea.io/collection/unitedplanets,0x7dEB7Bce4d360Ebe68278dee6054b882aa62D19c,0x7dEB7Bce4d360Ebe68278dee6054b882aa62D19c,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTAxLTEzKzAzJTNBMjclM0EwNi4zNDA4OTUmLXBrPTI4NjM5NDgyMTY=,318,50000,300,
PEACEFUL GROUPIES,https://opensea.io/collection/peaceful-groupies,0x4f89Cd0CAE1e54D98db6a80150a824a533502EEa,0x4f89Cd0CAE1e54D98db6a80150a824a533502EEa,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA0LTE1KzA2JTNBMjklM0EzMC4wMTkxOTImLXBrPTUwMzg3MzMxMDk=,142,50000,300,
FVCK_CRYSTAL//,https://opensea.io/collection/fvck-crystal,0x7AfEdA4c714e1C0A2a1248332c100924506aC8e6,0x7AfEdA4c714e1C0A2a1248332c100924506aC8e6,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTI5KzE3JTNBMDglM0ExNi40NTc5MjImLXBrPTY1MzE5NTY1NDc=,271,50000,300,
Desperate ApeWives,https://opensea.io/collection/desperate-ape-wives,0xF1268733C6FB05EF6bE9cF23d24436Dcd6E0B35E,0xF1268733C6FB05EF6bE9cF23d24436Dcd6E0B35E,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTAzKzIwJTNBMjAlM0E0Ny40MjA2OTUmLXBrPTcwNjQ2NTI4NTc=,59,50000,300,
We Are All Going to Die,https://opensea.io/collection/we-are-all-going-to-die,0x659A4BdaAaCc62d2bd9Cb18225D9C89b5B697A5A,0x659A4BdaAaCc62d2bd9Cb18225D9C89b5B697A5A,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTA3KzAzJTNBNTMlM0EwMi4zMzIyOTgmLXBrPTcwOTEzNDgxNjA=,82,50000,300,
The CryptoDads,https://opensea.io/collection/thecryptodads,0xECDD2F733bD20E56865750eBcE33f17Da0bEE461,0xECDD2F733bD20E56865750eBcE33f17Da0bEE461,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIyKzE4JTNBNTAlM0EzNS40OTgzMjgmLXBrPTY5OTAyMDU4MTE=,21,50000,300,
Wizards & Dragons Game (WnD),https://opensea.io/collection/wizards-dragons-game-v2,0x999e88075692bCeE3dBC07e7E64cD32f39A1D3ab,0x999e88075692bCeE3dBC07e7E64cD32f39A1D3ab,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTE1KzA1JTNBMzElM0E1MiYtcGs9NjEzMzk1NTgyMA==,17,50000,300,
Tasty Bones XYZ,https://opensea.io/collection/tastybonesxyz,0x1b79c7832ed9358E024F9e46E9c8b6f56633691B,0x1b79c7832ed9358E024F9e46E9c8b6f56633691B,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIwKzAwJTNBNDIlM0EzNi4yOTU3NzMmLXBrPTY5NjIxNjU4MDY=,172,50000,300,
Chimpers,https://opensea.io/collection/chimpersnft,0x80336Ad7A747236ef41F47ed2C7641828a480BAA,0x80336Ad7A747236ef41F47ed2C7641828a480BAA,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTAyKzA0JTNBNDMlM0E1MC4yNDEyMDEmLXBrPTcwNTI1ODk3ODA=,266,50000,300,
Rug Radio - Genesis NFT,https://opensea.io/collection/ruggenesis-nft,0x8ff1523091c9517BC328223D50b52Ef450200339,0x8ff1523091c9517BC328223D50b52Ef450200339,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE4KzExJTNBMzklM0EzMC42Njc0MzYmLXBrPTcxNjAyMjE3MDQ=,30,50000,300,
Ape Kids Club (AKC),https://opensea.io/collection/akc,0x9Bf252f97891b907F002F2887EfF9246e3054080,0x9Bf252f97891b907F002F2887EfF9246e3054080,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA0LTI1KzA0JTNBNTclM0EzNS45MDIyNTUmLXBrPTUzOTcwNTQ5MTM=,475,50000,300,
the littles NFT,https://opensea.io/collection/thelittlesnft,0xc6ec80029CD2aa4B0021cEb11248C07b25D2DE34,0xc6ec80029CD2aa4B0021cEb11248C07b25D2DE34,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE5KzE2JTNBMTElM0ExOS4yMDQ2MTcmLXBrPTcxNjY3NzIzNDQ=,163,50000,300,
DourDarcels,https://opensea.io/collection/dourdarcels,0x8d609Bd201bEaea7DccbfbD9c22851e23Da68691,0x8d609Bd201bEaea7DccbfbD9c22851e23Da68691,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTIwKzA4JTNBMTElM0EwNi43MDc4NDQmLXBrPTcxNzA1NTI2MTU=,12,50000,300,
Animetas,https://opensea.io/collection/animetas,0x18Df6C571F6fE9283B87f910E41dc5c8b77b7da5,0x18Df6C571F6fE9283B87f910E41dc5c8b77b7da5,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTEzKzA2JTNBMTklM0EwMi40MTQ2MTcmLXBrPTYwNTUwNDk3NjQ=,360,50000,300,
Boki,https://opensea.io/collection/bokinftofficial,0x248139aFB8d3A2e16154FbE4Fb528A3a214fd8E7,0x248139aFB8d3A2e16154FbE4Fb528A3a214fd8E7,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE3KzE5JTNBMzAlM0ExNC4zNjU5NTMmLXBrPTcxNTY1NzkzMzg=,67,50000,300,
Smilesss,https://opensea.io/collection/smilesss,0x177EF8787CEb5D4596b6f011df08C86eb84380dC,0x177EF8787CEb5D4596b6f011df08C86eb84380dC,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA0LTI4KzIzJTNBMDMlM0EyMy41NzM5NTUmLXBrPTU1MzMzNjUyOTc=,50001,50000,300,
