collection,collection_url,collection_address,asset_contract_address,ascending,cursor,page_num,n_request,limit,comment
CryptoKitties,https://opensea.io/collection/cryptokitties,0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTAyLTE4KzA5JTNBNDYlM0ExNyYtcGs9MzUzNzI3NzA5OQ==,145,50000,300,
Parallel Alpha,https://opensea.io/collection/parallelalpha,0x76BE3b62873462d2142405439777e971754E8E77,0x76BE3b62873462d2142405439777e971754E8E77,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTIwKzA3JTNBMzglM0E1OC45Mzg3MTkmLXBrPTYzMzU3NTgzMDI=,432,50000,300,
BEANZ Official,https://opensea.io/collection/beanzofficial,0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949,0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTEyKzE0JTNBMjglM0E0My45NzcwNDgmLXBrPTcxMjYwMzg3NTQ=,222,50000,300,
Bored Ape Chemistry Club,https://opensea.io/collection/bored-ape-chemistry-club,0x22c36BfdCef207F9c0CC941936eff94D4246d14A,0x22c36BfdCef207F9c0CC941936eff94D4246d14A,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIxLTA4LTI5KzE3JTNBNTElM0ExMSYtcGs9Njg1OTA1Mzk2,102,50000,300,
Pudgy Penguins,https://opensea.io/collection/pudgypenguins,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE3KzEyJTNBMzUlM0E1MCYtcGs9NzE1NDkxOTQ5OA==,90,50000,300,
VeeFriends,https://opensea.io/collection/veefriends,0xa3AEe8BcE55BEeA1951EF834b99f3Ac60d1ABeeB,0xa3AEe8BcE55BEeA1951EF834b99f3Ac60d1ABeeB,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE0KzA3JTNBMzElM0EzMS4wNjc2OTYmLXBrPTY4NzU5MjAwODE=,402,50000,300,
RTFKT - MNLTH,https://opensea.io/collection/rtfkt-mnlth,0x86825dFCa7A6224cfBd2DA48e85DF2fc3Aa7C4B1,0x86825dFCa7A6224cfBd2DA48e85DF2fc3Aa7C4B1,FALSE,,233,50000,300,
Sorare,https://opensea.io/collection/sorare,0x629A673A8242c2AC4B7B8C5D8735fbeac21A6205,0x629A673A8242c2AC4B7B8C5D8735fbeac21A6205,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIxLTA5LTI4KzIzJTNBNDclM0EyOSYtcGs9MTE1NDQwMzc3Ng==,388,50000,300,
NFT Worlds,https://opensea.io/collection/nft-worlds,0xBD4455dA5929D5639EE098ABFaa3241e9ae111Af,0xBD4455dA5929D5639EE098ABFaa3241e9ae111Af,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTI2KzA1JTNBMDAlM0E0MS4zOTk1MzMmLXBrPTcwMTExOTk0MTI=,69,50000,300,
0N1 Force,https://opensea.io/collection/0n1-force,0x3bf2922f4520a8BA0c2eFC3D2a1539678DaD5e9D,0x3bf2922f4520a8BA0c2eFC3D2a1539678DaD5e9D,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTA0KzIxJTNBMDglM0EyOS41MTExODEmLXBrPTcwNzM5Nzg2NjE=,121,50000,300,
Murakami.Flowers Seed,https://opensea.io/collection/murakami-flowers-seed,0x341A1c534248966c4b6AFaD165B98DAED4B964ef,0x341A1c534248966c4b6AFaD165B98DAED4B964ef,FALSE,,222,50000,300,
ZED RUN Legacy,https://opensea.io/collection/zed-run-legacy,0xA5F1Ea7DF861952863dF2e8d1312f7305dabf215,0xA5F1Ea7DF861952863dF2e8d1312f7305dabf215,FALSE,,1,10000,300,job failed; polygon contract assess; data available on OpenSea but must retrieve with collection_slug
ENS: Ethereum Name Service,https://opensea.io/collection/ens,0x57f1887a8BF19b14fC0dF6Fd9B2acc9Af147eA85,0x57f1887a8BF19b14fC0dF6Fd9B2acc9Af147eA85,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTIwKzE1JTNBMDklM0E0My4wNTQzMTImLXBrPTcxNzI0Mjk0NjQ=,7,50000,300,
adidas Originals Into the Metaverse,https://opensea.io/collection/adidasoriginals,0x28472a58A490c5e09A238847F66A68a47cC76f0f,0x28472a58A490c5e09A238847F66A68a47cC76f0f,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTEwKzIzJTNBMTYlM0EzMy44OTc4MzImLXBrPTU5Nzg3MTg2NTY=,76,50000,300,
PXN: Ghost Division,https://opensea.io/collection/pxnghostdivision,0x160C404B2b49CBC3240055CEaEE026df1e8497A0,0x160C404B2b49CBC3240055CEaEE026df1e8497A0,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTA3KzIyJTNBNDElM0E0Ni4xMjQ5MzQmLXBrPTcwOTcwMjQ4OTY=,136,50000,300,
Hashmasks,https://opensea.io/collection/hashmasks,0xC2C747E0F7004F9E8817Db2ca4997657a7746928,0xC2C747E0F7004F9E8817Db2ca4997657a7746928,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTI0KzExJTNBMDIlM0EzNS40MzU1NDgmLXBrPTcwMDE5OTkxMjc=,250,50000,300,
My Curio Cards,https://opensea.io/collection/curiocardswrapper,0x73DA73EF3a6982109c4d5BDb0dB9dd3E3783f313,0x73DA73EF3a6982109c4d5BDb0dB9dd3E3783f313,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTAzLTI2KzE0JTNBNTglM0E0My44OTIzNDAmLXBrPTQ0NjYwMzM5NTI=,149,50000,300,
RTFKT - CloneX Mintvial,https://opensea.io/collection/clonex-mintvial,0x348FC118bcC65a92dC033A951aF153d14D945312,0x348FC118bcC65a92dC033A951aF153d14D945312,FALSE,,1,50000,300,job failed; retry this
FLUF World,https://opensea.io/collection/fluf,0xCcc441ac31f02cD96C153DB6fd5Fe0a2F4e6A68d,0xCcc441ac31f02cD96C153DB6fd5Fe0a2F4e6A68d,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIxLTA5LTIxKzA0JTNBMTElM0EyNC4xOTgxNzgmLXBrPTEwMDc2MzM5NTg=,50001,50000,300,
Creature World,https://opensea.io/collection/creatureworld,0xc92cedDfb8dd984A89fb494c376f9A48b999aAFc,0xc92cedDfb8dd984A89fb494c376f9A48b999aAFc,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTA3KzIzJTNBMTMlM0EwMy4xMzEwNjImLXBrPTcwOTcxNjU1NjQ=,236,50000,300,
3Landers,https://opensea.io/collection/3landers,0xb4d06d46A8285F4EC79Fd294F78a881799d8cEd9,0xb4d06d46A8285F4EC79Fd294F78a881799d8cEd9,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE4KzIzJTNBNDYlM0EyMS43Nzg0MjkmLXBrPTcxNjI5ODgxODQ=,58,50000,300,
CyberBrokers,https://opensea.io/collection/cyberbrokers,0x892848074ddeA461A15f337250Da3ce55580CA85,0x892848074ddeA461A15f337250Da3ce55580CA85,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTI4KzIwJTNBMzYlM0E1Mi4xNjg5MTMmLXBrPTcwMjk0ODEyMDY=,109,50000,300,
Prime Ape Planet PAP,https://opensea.io/collection/primeapeplanetpap,0x6632a9d63E142F17a668064D41A21193b49B41a0,0x6632a9d63E142F17a668064D41A21193b49B41a0,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE5KzIzJTNBMzglM0E1NC43NDIzOTMmLXBrPTY5NjE3NTQ2Mzc=,248,50000,300,
The Doge Pound,https://opensea.io/collection/the-doge-pound,0xF4ee95274741437636e748DdAc70818B4ED7d043,0xF4ee95274741437636e748DdAc70818B4ED7d043,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE2KzEzJTNBMTElM0EzMy45Njg0MTImLXBrPTY5MjAzNTA3MTA=,345,50000,300,
DeadFellaz,https://opensea.io/collection/deadfellaz,0x2acAb3DEa77832C09420663b0E1cB386031bA17B,0x2acAb3DEa77832C09420663b0E1cB386031bA17B,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTEzKzA3JTNBMjAlM0E1OS42MTEyMzUmLXBrPTcxMzEwMDY1NDM=,83,50000,300,
World of Women Galaxy,https://opensea.io/collection/world-of-women-galaxy,0xf61F24c2d93bF2dE187546B14425BF631F28d6dC,0xf61F24c2d93bF2dE187546B14425BF631F28d6dC,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE4KzA4JTNBMzIlM0E0NS41ODM5NDUmLXBrPTcxNTk0MDcxMjI=,80,50000,300,
Creepz Genesis,https://opensea.io/collection/genesis-creepz,0xfE8C6d19365453D26af321D0e8c910428c23873F,0xfE8C6d19365453D26af321D0e8c910428c23873F,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTExKzE4JTNBMjYlM0EwOS42MzQzNDImLXBrPTY4MTk4ODUxMTg=,233,50000,300,
alien frens,https://opensea.io/collection/alienfrensnft,0x123b30E25973FeCd8354dd5f41Cc45A3065eF88C,0x123b30E25973FeCd8354dd5f41Cc45A3065eF88C,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE1KzA3JTNBMDElM0EzMC4xNDY2MjUmLXBrPTcxNDI1NDA5NjQ=,110,50000,300,
VeeFriends Series 2,https://opensea.io/collection/veefriends-series-2,0x9378368ba6b85c1FbA5b131b530f5F5bEdf21A18,0x9378368ba6b85c1FbA5b131b530f5F5bEdf21A18,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE5KzEyJTNBMzAlM0EwOS44ODIxMjImLXBrPTcxNjU4NzY0MjY=,26,50000,300,
Axie Infinity,https://opensea.io/collection/axie,0xF5b0A3eFB8e8E4c201e2A935F110eAaF3FFEcb8d,0xF5b0A3eFB8e8E4c201e2A935F110eAaF3FFEcb8d,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIxLTA0LTI1KzA2JTNBNDUlM0E0NyYtcGs9MTI2Nzc4NjM1,54,50000,300,
Zipcy's SuperNormal,https://opensea.io/collection/supernormalbyzipcy,0xd532b88607B1877Fe20c181CBa2550E3BbD6B31C,0xd532b88607B1877Fe20c181CBa2550E3BbD6B31C,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTExKzE0JTNBMjMlM0E0Ny41NzA1NzUmLXBrPTY4MTU5NTc1MTk=,258,50000,300,
CyberKongz,https://opensea.io/collection/cyberkongz,0x57a204AA1042f6E66DD7730813f4024114d74f37,0x57a204AA1042f6E66DD7730813f4024114d74f37,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTEwKzA5JTNBNTklM0E1Ni4zMjE2ODImLXBrPTU5NTc0ODQ2MjM=,171,50000,300,
Coolman's Universe,https://opensea.io/collection/coolmans-universe,0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE2KzE2JTNBMjElM0ExOC4wOTY4MjkmLXBrPTcxNTAyMzQ0OTE=,113,50000,300,
Voxels (formerly Cryptovoxels),https://opensea.io/collection/cryptovoxels,0x79986aF15539de2db9A5086382daEdA917A9CF0C,0x79986aF15539de2db9A5086382daEdA917A9CF0C,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE0KzIzJTNBMzMlM0EzNy4yMzE5NjMmLXBrPTcxNDA5NzA1MjA=,23,50000,300,
Metroverse Genesis,https://opensea.io/collection/metroverse-genesis,0x0e9d6552b85BE180d941f1cA73Ae3E318D2D4F1F,0x0e9d6552b85BE180d941f1cA73Ae3E318D2D4F1F,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIxKzE0JTNBMjUlM0ExMi44NTI1NjUmLXBrPTY5NzgxMTcyMDM=,95,50000,300,
VOX Collectibles,https://opensea.io/collection/collectvoxtownstar,0xad9Fd7cB4fC7A0fBCE08d64068f60CbDE22Ed34C,0xad9Fd7cB4fC7A0fBCE08d64068f60CbDE22Ed34C,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE5KzEzJTNBMDMlM0E0Ny4xMTcxOTMmLXBrPTcxNjYwMDMzNDc=,50,50000,300,
Psychedelics Anonymous Genesis,https://opensea.io/collection/psychedelics-anonymous-genesis,0x75E95ba5997Eb235F40eCF8347cDb11F18ff640B,0x75E95ba5997Eb235F40eCF8347cDb11F18ff640B,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTEyKzEwJTNBMzAlM0E1NS40NTYzMzEmLXBrPTcxMjQ4Njk1MDM=,65,50000,300,
Worldwide Webb Land,https://opensea.io/collection/worldwidewebbland,0xA1D4657e0E6507D5a94d06DA93E94dC7C8c44b51,0xA1D4657e0E6507D5a94d06DA93E94dC7C8c44b51,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTIwKzEwJTNBMjAlM0E0NS4wMjcyNDcmLXBrPTcxNzExMzI1OTg=,21,50000,300,
Capsule House,https://opensea.io/collection/capsulehouse,0xfcB1315C4273954F74Cb16D5b663DBF479EEC62e,0xfcB1315C4273954F74Cb16D5b663DBF479EEC62e,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIwKzE4JTNBMjYlM0EwOC45MzE1NjAmLXBrPTY5Njk3NzA3Nzc=,119,50000,300,
Town Star,https://opensea.io/collection/town-star,0xc36cF0cFcb5d905B8B513860dB0CFE63F6Cf9F5c,0xc36cF0cFcb5d905B8B513860dB0CFE63F6Cf9F5c,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE3KzIxJTNBNDIlM0E0MSYtcGs9NzE1NzA4NTIzNw==,29,50000,300,
SupDucks,https://opensea.io/collection/supducks,0x3Fe1a4c1481c8351E91B64D5c398b159dE07cbc5,0x3Fe1a4c1481c8351E91B64D5c398b159dE07cbc5,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTA0KzA3JTNBNDclM0EzMS44ODA5NjMmLXBrPTY2ODEyMzc4Mjg=,50001,50000,300,
Gutter Cat Gang,https://opensea.io/collection/guttercatgang,0xEdB61f74B0d09B2558F1eeb79B247c1F363Ae452,0xEdB61f74B0d09B2558F1eeb79B247c1F363Ae452,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIzKzA2JTNBMzElM0EzNi4xODk4ODAmLXBrPTY5OTUzOTAxODA=,82,50000,300,
Lives of Asuna,https://opensea.io/collection/livesofasuna,0xAf615B61448691fC3E4c61AE4F015d6e77b6CCa8,0xAf615B61448691fC3E4c61AE4F015d6e77b6CCa8,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTEwKzE5JTNBNTYlM0ExMi4xOTQzMDEmLXBrPTU5NzMyOTQ5MTI=,431,50000,300,
Sneaky Vampire Syndicate,https://opensea.io/collection/sneaky-vampire-syndicate,0x219B8aB790dECC32444a6600971c7C3718252539,0x219B8aB790dECC32444a6600971c7C3718252539,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIwKzE0JTNBMDElM0EwOS4yMDI5MTAmLXBrPTY5Njc4OTQ0Nzg=,86,50000,300,
Wolf Game,https://opensea.io/collection/wolf-game,0x7F36182DeE28c45dE6072a34D29855BaE76DBe2f,0x7F36182DeE28c45dE6072a34D29855BaE76DBe2f,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIyKzE4JTNBNTklM0E0OS41NTAwNzQmLXBrPTY5OTAyNjMyMzc=,162,50000,300,
Adam Bomb Squad,https://opensea.io/collection/adam-bomb-squad,0x7AB2352b1D2e185560494D5e577F9D3c238b78C5,0x7AB2352b1D2e185560494D5e577F9D3c238b78C5,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE5KzIzJTNBMDMlM0E0MS43MTg3NDYmLXBrPTcxNjgzNjMzNDE=,96,50000,300,
CryptoSkulls,https://opensea.io/collection/cryptoskulls,0xc1Caf0C19A8AC28c41Fe59bA6c754e4b9bd54dE9,0xc1Caf0C19A8AC28c41Fe59bA6c754e4b9bd54dE9,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTExKzIwJTNBMjclM0ExMy4xMTM1NzYmLXBrPTY4MjE3NjczMjU=,474,50000,300,
Killer GF,https://opensea.io/collection/killergf,0x6bE69b2A9B153737887CfcdCa7781eD1511C7e36,0x6bE69b2A9B153737887CfcdCa7781eD1511C7e36,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE1KzEzJTNBMDElM0ExMi44MjA0NjYmLXBrPTY5MDMwNDM0NTU=,731,50000,300,
Damien Hirst - The Currency,https://opensea.io/collection/thecurrency,0xaaDc2D4261199ce24A4B0a57370c4FCf43BB60aa,0xaaDc2D4261199ce24A4B0a57370c4FCf43BB60aa,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTA5KzE5JTNBMTYlM0EwMS42NjA2ODcmLXBrPTcxMDg3MTAxNTE=,62,50000,300,
MURI by Haus,https://opensea.io/collection/murixhaus,0x4B61413D4392c806E6d0fF5Ee91E6073C21d6430,0x4B61413D4392c806E6d0fF5Ee91E6073C21d6430,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE1KzIxJTNBNDIlM0E0OS45NDk2NDMmLXBrPTcxNDU5MTk5ODA=,70,50000,300,
888 inner circle,https://opensea.io/collection/888innercircle,0x36d30B3b85255473D27dd0F7fD8F35e36a9d6F06,0x36d30B3b85255473D27dd0F7fD8F35e36a9d6F06,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTAxLTAzKzAwJTNBMzYlM0EwNC42OTg3ODAmLXBrPTI3MjIxMTUzMDE=,65,50000,300,
NeoTokyo Outer Identities,https://opensea.io/collection/neotokyo-outer-identities,0x698FbAACA64944376e2CDC4CAD86eaa91362cF54,0x698FbAACA64944376e2CDC4CAD86eaa91362cF54,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTA4KzEwJTNBNDElM0E0Ny44MTcxNzcmLXBrPTU4ODcxMDM3NDk=,81,50000,300,
Autoglyphs,https://opensea.io/collection/autoglyphs,0xd4e4078ca3495DE5B1d4dB434BEbc5a986197782,0xd4e4078ca3495DE5B1d4dB434BEbc5a986197782,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTAyLTIxKzIxJTNBMjElM0EzNC42OTE0NTImLXBrPTM2MDAyNTU3NzU=,26,50000,300,
Impostors Genesis Aliens,https://opensea.io/collection/impostors-genesis-aliens,0x3110EF5f612208724CA51F5761A69081809F03B7,0x3110EF5f612208724CA51F5761A69081809F03B7,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTA2KzAzJTNBNDIlM0E0NS41MTgyMTQmLXBrPTY3MTAyNDM1OTI=,337,50000,300,
Ragnarok Meta,https://opensea.io/collection/ragnarok-meta,0x497a9A79e82e6fC0FF10a16f6F75e6fcd5aE65a8,0x497a9A79e82e6fC0FF10a16f6F75e6fcd5aE65a8,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTA4KzAyJTNBNTAlM0E0NS4xNzkxNTUmLXBrPTcwOTgxNTcwMzc=,62,50000,300,
CryptoPunks V1 (wrapped),https://opensea.io/collection/official-v1-punks,0x282BDD42f4eb70e7A9D9F40c8fEA0825B7f68C5D,0x282BDD42f4eb70e7A9D9F40c8fEA0825B7f68C5D,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIzKzE3JTNBMzElM0EzMi4yNzExNTImLXBrPTY5OTkwNzcwNzA=,30,50000,300,
JUNGLE FREAKS GENESIS,https://opensea.io/collection/jungle-freaks-genesis,0x7E6Bc952d4b4bD814853301bEe48E99891424de0,0x7E6Bc952d4b4bD814853301bEe48E99891424de0,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTMwKzAzJTNBNTElM0E0My4xNzczMjImLXBrPTY1MzczNzY0OTg=,77,50000,300,
oncyber labs,https://opensea.io/collection/oncyber,0x226Bf5293692610692E2C996C9875C914d2A7f73,0x226Bf5293692610692E2C996C9875C914d2A7f73,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIyKzE1JTNBMDYlM0ExOS45MjgyMTUmLXBrPTY5ODg2OTY5NTE=,13,50000,300,
MoonCats,https://opensea.io/collection/acclimatedmooncats,0xc3f733ca98E0daD0386979Eb96fb1722A1A05E69,0xc3f733ca98E0daD0386979Eb96fb1722A1A05E69,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE5KzA2JTNBMzklM0EwOS4xMDkxMzMmLXBrPTcxNjQ0OTM4NzE=,10,50000,300,
Bears Deluxe,https://opensea.io/collection/bears-deluxe,0x4BB33f6E69fd62cf3abbcC6F1F43b94A5D572C2B,0x4BB33f6E69fd62cf3abbcC6F1F43b94A5D572C2B,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIyKzAwJTNBMTAlM0ExOC42MzQ0OTUmLXBrPTY5ODIyNjIzMzY=,33,50000,300,
Arcade Land,https://opensea.io/collection/arcade-land,0x4a8C9D751EEAbc5521A68FB080DD7E72E46462aF,0x4a8C9D751EEAbc5521A68FB080DD7E72E46462aF,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTIwKzAxJTNBMjYlM0E1NC43ODA0MDAmLXBrPTcxNjg4Nzk3NDA=,38,50000,300,
PROOF Collective,https://opensea.io/collection/proof-collective,0x08D7C0242953446436F34b4C78Fe9da38c73668d,0x08D7C0242953446436F34b4C78Fe9da38c73668d,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTAyKzE1JTNBMDklM0E0OS4yNzQxNDYmLXBrPTcwNTUyODg3MTk=,40,50000,300,
GalacticApes,https://opensea.io/collection/galacticapes,0x12d2D1beD91c24f878F37E66bd829Ce7197e4d14,0x12d2D1beD91c24f878F37E66bd829Ce7197e4d14,FALSE,,37021,0,300,job completed
Rumble Kong League,https://opensea.io/collection/rumble-kong-league,0xEf0182dc0574cd5874494a120750FD222FdB909a,0xEf0182dc0574cd5874494a120750FD222FdB909a,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE0KzA0JTNBMDMlM0ExNS4wMzA3MzEmLXBrPTY4NzI4MDgwMzk=,206,50000,300,
Lil' Heroes by Edgar Plans,https://opensea.io/collection/lil-heroes-by-edgar-plans,0xD78b76Fcc33cd416dA9d3D42f72649a23D7AC647,0xD78b76Fcc33cd416dA9d3D42f72649a23D7AC647,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE4KzA5JTNBNTMlM0EzNS43ODM3MTkmLXBrPTY5NDUwNDc1ODU=,469,50000,300,
Murakami.Flowers Official,https://opensea.io/collection/murakami-flowers-2022-official,0x7D8820FA92EB1584636f4F5b8515B5476B75171a,0x7D8820FA92EB1584636f4F5b8515B5476B75171a,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTIxKzA0JTNBNDElM0E0OS41NDE4NjAmLXBrPTY5NzQzMDg1Njc=,201,50000,300,
tubby cats,https://opensea.io/collection/tubby-cats,0xCa7cA7BcC765F77339bE2d648BA53ce9c8a262bD,0xCa7cA7BcC765F77339bE2d648BA53ce9c8a262bD,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE5KzE5JTNBMzklM0EwNS44MDM1MzUmLXBrPTY5NjAxNTM3MjU=,400,50000,300,
CryptoBatz by Ozzy Osbourne,https://opensea.io/collection/cryptobatz-by-ozzy-osbourne,0xc8adFb4D437357D0A656D4e62fd9a6D22e401aa0,0xc8adFb4D437357D0A656D4e62fd9a6D22e401aa0,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTE0KzE1JTNBMzMlM0E0MS4xNjAxMTkmLXBrPTY4ODM4NDc1ODM=,78,50000,300,
VOX Collectibles: Mirandus,https://opensea.io/collection/collectvoxmirandus,0xf76179bb0924BA7da8E7b7Fc2779495D7A7939d8,0xf76179bb0924BA7da8E7b7Fc2779495D7A7939d8,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTA0KzA4JTNBMTMlM0EzNy41Njc0NjEmLXBrPTcwNjkxNjc5NzA=,8,50000,300,
MutantCats,https://opensea.io/collection/mutantcats,0xaAdBA140Ae5e4c8a9eF0Cc86EA3124b446e3E46A,0xaAdBA140Ae5e4c8a9eF0Cc86EA3124b446e3E46A,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA1LTMwKzIyJTNBNTclM0EwMS44MjgwNTYmLXBrPTY1NTkxOTM5MjA=,369,50000,300,
MetaHero Universe: Generative Identities,https://opensea.io/collection/metahero-generative,0x6dc6001535e15b9def7b0f6A20a2111dFA9454E2,0x6dc6001535e15b9def7b0f6A20a2111dFA9454E2,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTA5KzEwJTNBMjAlM0E0Ny44MzIzMjImLXBrPTcxMDY0NTExNzE=,169,50000,300,
DEGEN TOONZ COLLECTION,https://opensea.io/collection/degentoonz-collection,0x19b86299c21505cdf59cE63740B240A9C822b5E4,0x19b86299c21505cdf59cE63740B240A9C822b5E4,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTEzKzAyJTNBNDIlM0ExNC4xNDE0MzUmLXBrPTcxMjk2MTQ2ODA=,206,50000,300,
JRNY Club,https://opensea.io/collection/jrny-club-official,0x0b4B2bA334f476C8F41bFe52A428D6891755554d,0x0b4B2bA334f476C8F41bFe52A428D6891755554d,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA2LTA0KzE0JTNBMzElM0EyMS4yNzAyNzImLXBrPTY2OTAxMDA2MTY=,265,50000,300,
My Pet Hooligan,https://opensea.io/collection/mypethooligan,0x09233d553058c2F42ba751C87816a8E9FaE7Ef10,0x09233d553058c2F42ba751C87816a8E9FaE7Ef10,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTE5KzA3JTNBMjclM0EwMS45NjM2NzkmLXBrPTcxNjQ2ODgwNjE=,55,50000,300,
Robotos,https://opensea.io/collection/robotos-official,0x099689220846644F87D1137665CDED7BF3422747,0x099689220846644F87D1137665CDED7BF3422747,FALSE,,1,10000,300,job failed; retry this
Boss Beauties,https://opensea.io/collection/bossbeauties,0xB5C747561a185A146f83cFff25BdfD2455b31fF4,0xB5C747561a185A146f83cFff25BdfD2455b31fF4,FALSE,LWV2ZW50X3RpbWVzdGFtcD0yMDIyLTA3LTEzKzA4JTNBNTQlM0E1MS45MzgxNTQmLXBrPTcxMzE1MTQxODI=,48,50000,300,
